accX_mean,accX_std,accX_min,accX_max,accY_mean,accY_std,accY_min,accY_max,accZ_mean,accZ_std,accZ_min,accZ_max,gyroX_mean,gyroX_std,gyroX_min,gyroX_max,gyroY_mean,gyroY_std,gyroY_min,gyroY_max,gyroZ_mean,gyroZ_std,gyroZ_min,gyroZ_max,label
950.2222222222222,4676.9332928363465,-10008.0,10540.0,-51.25925925925926,2652.130182913823,-5280.0,2912.0,20361.925925925927,3466.9939753439467,12732.0,25244.0,-1885.6296296296296,16.427341533478565,-1920.0,-1856.0,-504.74074074074076,4282.99068402328,-9265.0,6612.0,770.8148148148148,1668.4324295816634,-3624.0,3587.0,stone
302.2352941176471,4105.110274670027,-7372.0,9756.0,1095.2941176470588,2379.880612353329,-4292.0,3468.0,20344.352941176472,2946.144042667059,12656.0,24208.0,-1883.764705882353,20.203598274668963,-1920.0,-1840.0,-547.0882352941177,3949.7837483393027,-7519.0,7773.0,568.8823529411765,1366.1894088636705,-2586.0,3531.0,stone
2259.375,5318.473427288529,-6356.0,12724.0,1276.375,2413.9624733165683,-4704.0,3960.0,19841.875,3896.9770232007836,7616.0,25476.0,-1882.0,14.511397078203405,-1920.0,-1856.0,-499.3125,4493.7840182210975,-9627.0,9057.0,846.6875,1489.6151795227238,-3883.0,3796.0,stone
2042.1935483870968,4839.7175497429935,-7116.0,13176.0,991.2258064516129,2817.4536814847243,-5688.0,4340.0,20224.25806451613,3703.6322258718033,9620.0,26572.0,-1879.225806451613,13.600758992103724,-1904.0,-1856.0,-677.1290322580645,4194.93909166697,-8857.0,6873.0,888.7096774193549,1841.0489074356205,-3044.0,5181.0,stone
3674.266666666667,5187.2819201909815,-5944.0,14404.0,1452.9333333333334,2586.542078999834,-4912.0,4796.0,19587.333333333332,4258.673529385066,7016.0,27808.0,-1884.8,15.944732131918075,-1904.0,-1840.0,-683.0333333333333,4704.172421506717,-10848.0,7140.0,282.46666666666664,1765.1380864872344,-4862.0,5674.0,stone
-658.6206896551724,5026.990156103018,-13708.0,8252.0,1594.2068965517242,2019.7517771694893,-3104.0,3772.0,20253.379310344826,4176.358123103644,8016.0,25252.0,-1874.7586206896551,17.666868047307798,-1904.0,-1840.0,-628.3448275862069,4430.890802696306,-10617.0,6986.0,1068.344827586207,1833.1206272338293,-1928.0,5337.0,stone
198.48275862068965,4330.874463172945,-12380.0,7460.0,1835.5862068965516,2774.7795474498175,-4964.0,4472.0,20328.96551724138,4001.139217083399,8500.0,25184.0,-1878.0689655172414,19.320475878645947,-1920.0,-1840.0,-382.6551724137931,4704.7410607041775,-10031.0,9846.0,856.5862068965517,1344.9403204295875,-2108.0,4235.0,stone
951.3103448275862,5244.872115446588,-7820.0,13808.0,1829.5172413793102,2971.374941728993,-5432.0,4464.0,20038.620689655174,4202.408190667016,9952.0,27296.0,-1886.344827586207,19.756148883808603,-1936.0,-1840.0,-547.4137931034483,4771.042747040596,-10838.0,7864.0,496.3448275862069,2569.7171088865857,-10956.0,3501.0,stone
953.0588235294117,3670.802776878372,-6544.0,9956.0,1847.2941176470588,2625.3561666529226,-4760.0,4532.0,20144.117647058825,3317.088096551734,11776.0,25736.0,-1879.5294117647059,19.78710215682695,-1936.0,-1856.0,-687.6470588235294,4058.001970535485,-10070.0,6942.0,711.9705882352941,1403.8182236918497,-1981.0,5224.0,stone
-116.60606060606061,3719.860900788109,-8148.0,8200.0,1669.6969696969697,2426.892051637862,-3988.0,4100.0,20366.909090909092,2609.395001284258,13324.0,24908.0,-1873.939393939394,15.366236107818079,-1904.0,-1840.0,-712.8787878787879,3546.9609329464693,-8128.0,5921.0,371.4848484848485,1436.794503426206,-2918.0,4452.0,stone
